id,date,username,tweet,cleaned,dbscan_tfidf,range_id
1ce6ad69-99c0-40f0-9c79-8171e554a791,2020-08-12,eventjakartacom,"KoinWorks x Investashe : I Am A Financially Independent Woman | Kamis, 13 Agustus 2020 | Via : Online (ZOOM) | 19.00 WIB – Selesai | Pendaftaran :  http://bit.ly/SHE83S  pic.twitter.com/qCBI37JTsK",x investashe i am a financially independent woman kamis agustus via online zoom wib selesai pendaftaran bit ly she83s qcbi37jtsk,0,0
92932aa5-2077-49c5-8790-843347424ea1,2020-08-07,lawancovid19_id,Follow sekarang! Dapatkan informasi terkini tentang COVID-19 di Indonesia. Bisa mengubungi tim Gugus Tugas Penanganan COVID-19 juga apabila kamu ingin berkonsultasi. Follow sekarang di:   https://twitter.com/lawancovid19_id  pic.twitter.com/naFWym8rB4,follow dapatkan informasi terkini covid indonesia bisa mengubungi tim gugus tugas penanganan covid berkonsultasi follow lawancovid19 id nafwym8rb4,27,1
cee50078-4ddc-4191-a6f5-1546004278fc,2020-08-11,bayubask,@koinworks please check dm & response...thanks,please check dm response thanks,-1,2
1a89a8a6-bc87-4739-b945-d739798c5113,2020-08-11,arumst,"Case itu terjadi thn lalu min, sblm pandemi. Awalnya saya mendanai krn tenor hny 3 bln. Ketika proses peminjaman dah jalan, cek di portfolio, kaget, tenor dah berubah jd 24 bln. Tanpa ada info dan opsi pembatalan. Resiko sepenuhnya ada di pendana.",case thn min sblm pandemi mendanai krn tenor hny bln proses peminjaman dah jalan cek portfolio kaget tenor dah berubah jd bln ada info opsi pembatalan resiko sepenuhnya ada pendana,1,3
97684298-d9da-4a92-86dd-a3b8c8c778f6,2020-08-11,idntimes,"Mulai dari Bibit, Bareksa, Tanamduit, hingga KoinWorks, yuk, mulai investasi! #IDNTImesTech https://www.idntimes.com/tech/trend/izza-namira-1/daftar-aplikasi-investasi-terbaik-untuk-pemula?utm_source=twitter&utm_medium=auto&utm_campaign=auto …",bibit bareksa tanamduit investasi idntimestech idntimes tech trend izza namira daftar aplikasi investasi terbaik pemula utm source utm medium auto utm campaign auto,0,4
87fbfe46-9fd2-40d3-a956-f4be72caf1a6,2020-08-11,quratengil,Buat yang mau beli emas... Gue sih prefer KoinWorks ya kalo investasi sekarang ini.. Ga kebanyakan fitur jadi sejauh ini masih smooth  https://twitter.com/teknogav/status/1293002391768281089 …,beli emas gue sih prefer ya kalo investasi ga kebanyakan fitur smooth teknogav status,-1,5
6ef9f935-b1f1-4b44-a182-a787f9430f33,2020-08-11,eventjakartacom,"KoinWorks x Investashe : I Am A Financially Independent Woman | Kamis, 13 Agustus 2020 | Via : Online (ZOOM) | 19.00 WIB – Selesai | Pendaftaran :  http://bit.ly/SHE83S  pic.twitter.com/2OgT5WL7sf",x investashe i am a financially independent woman kamis agustus via online zoom wib selesai pendaftaran bit ly she83s 2ogt5wl7sf,0,6
de5cf892-a214-47a1-9467-3e2b7958e448,2020-08-10,andifa,"ada yang DM gitu juga tapi ya udah, udah tanem investasi yang ga harus kembali secepatnya. Giving them benefit of doubt...",ada dm gitu ya udah udah tanem investasi ga secepatnya giving them benefit of doubt,-1,7
01aaa031-a0b2-48d8-9dc5-21aa222e543d,2020-08-10,arumst,"Pengalaman pribadi sbg pendana dr sejak 2016. 
Ga pengen nerusin.
Gegara ada case peminjam ngubah tenor, dan ga ada notif dari koinworks. Ya udah, ga ada opsi lain, selain duit nyangkut  smp 24bln dg segala resiko. 
Dr 3bln, tiba2 brubah 24bln! 😖😭",pengalaman pribadi sbg pendana dr ga pengen nerusin gegara ada case peminjam ngubah tenor ga ada notif ya udah ga ada opsi duit nyangkut smp 24bln dg resiko dr 3bln tiba2 brubah 24bln,0,8
dd937910-c8d6-4b56-ab75-5964901acb58,2020-08-06,gofoodindonesia,"SEMPAT KAGET DENGAN BERITA IBU SISCA GANTUNG PANCI? MENGEJUTKAN BUKAN?

Simak videonya sampai habis, ada yang mau ibu Sisca sampaikan buat GoFoodies semuanya 🥰

BAGAIMANA GOFOODIES, MERIAH BUKAN? tut tuturut turut turuturut tururut turuturut tururututut~ #Foodiskon pic.twitter.com/34f0eolEm2",kaget berita sisca gantung panci mengejutkan simak videonya habis ada sisca gofoodies gofoodies meriah tut tuturut turuturut tururut turuturut tururututut foodiskon 34f0eolem2,0,9
2f3cb105-bd01-411c-bf8d-7e20266efa18,2020-08-10,beribowo,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
 *Click to watch video* 
  https://youtu.be/D1N34eRVkqM  
 
 Download and *Use my code RW94596 to get 350,000* KOIN or",let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single click to watch video be d1n34ervkqm and use my rw94596 to get koin or,2,10
73d9c908-c12b-4e3c-b8a1-b02bb63b4d5d,2020-08-10,fernandagunsan,mau tau dong pengalaman kalian kalo ada yang udah pernah pakai koinworks.. Terima kasih...,tau pengalaman kalo ada udah pakai terima kasih,3,11
959aca8b-77cc-4b6a-b2ed-968d7ef1c516,2020-08-09,eleazhar_p,"Realita ""berinvestasi"" di P2P lending memang pahit, terutama sbg lender. Easy way to make money buat kalian kan ya, @koinworks ? Duit lender yg nyangkut, malah ga jelas apa kalian tagih atau nggak ke non-performing borrower.  https://twitter.com/laywookcom/status/1289885003065593856 …",realita berinvestasi p2p lending pahit sbg lender easy way to make money ya duit lender nyangkut ga tagih nggak non performing borrower laywookcom status,-1,12
9440b878-bb76-432e-b4d0-432e2550d7b6,2020-08-09,subhi_darajat,"I've been trying KoinWorks for many years, and it is excellent for investing, because we get more significant profits from the bank, but not choke borrowers...

Get Special Bonus Join 350K for your first investment...
 https://subhidarajat.desainpedia.com/recommendations/fintech/koinworks …
#baliinvestment #indonesiainvestment",i ve been trying for many years and it is excellent for investing because we get more significant profits from the bank but not choke borrowers get special bonus join 350k for your first investment subhidarajat desainpedia recommendations fintech baliinvestment indonesiainvestment,-1,13
fc976572-1932-4086-9dc2-0e3275bbe203,2020-08-08,thedyluna,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* + *non-collateralized loan* in one single app. *Click to watch video*  https://youtu.be/D1N34eRVkqM  Download or click  https://koinworks.onelink.me/LgVI/943b3b65 ",let me introduce you to indonesia first super financial get return up to p a non collateralized loan in one single click to watch video be d1n34ervkqm or click onelink me lgvi 943b3b65,-1,14
85f38ee2-38bc-4c2b-b3da-48621466455f,2020-08-08,thedyluna,"Hi, go check out KoinGold powered by KoinWorks, Super Financial App! You can find a complete solution in buy and sell digital gold, with minimum price Rp1000, no transaction fee*. It seems great, right?
Download now and get all the benefits:  https://koinworks.onelink.me/LgVI/koingold ",go check out koingold powered by super financial you can find a complete solution in buy and sell digital gold with minimum price rp1000 no transaction fee it seems great right now and get all the benefits onelink me lgvi koingold,-1,15
01b80766-75fd-4fcc-aa03-b192140081ab,2020-08-08,bobbyzz33,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
 *Click to watch video* 
  https://youtu.be/D1N34eRVkqM  
 
 Download and *Use my code SN44812 to get",let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single click to watch video be d1n34ervkqm and use my sn44812 to get,4,16
91d89d57-dd4a-47c8-becb-107ba3c98284,2020-08-08,ism4ilsiregar,"Rekomendasi Buku Wajib Untuk Investor Pemula, Yuk Baca Selamra Karantina  https://koinworks.com/blog/buku-investasi-terbaik-untuk-investor-pemula/ … lewat @koinworks",rekomendasi buku wajib investor pemula baca selamra karantina blog buku investasi terbaik investor pemula,0,17
3a8e9136-78dc-48ba-8194-48c10e057d0d,2020-08-08,breyopo,Sudah saya DM ya silakan dicek.,sudah dm ya silakan dicek,-1,18
be1f9c26-729b-4bc0-a56a-e05acd2c996a,2020-08-07,bangbingbung,"@koinworks min saya mau withdrawal tapi salah masukin norek, nah caranya ganti noreknya gimana ya",min withdrawal salah masukin norek ganti noreknya gimana ya,45,19
d768a105-08df-4041-ba1d-2453f9f9482d,2020-08-07,wuryani37136951,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
 *Click to watch video* 
  https://youtu.be/D1N34eRVkqM ",let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single click to watch video be d1n34ervkqm,-1,20
9e7f28b1-f4c6-4389-bea2-c86532633f31,2020-08-07,breyopo,Karena saya tertarik utk mulai invest di KoinWorks. Tks sblmnya.,tertarik utk invest tks sblmnya,0,21
35d564bf-cb1d-44d9-8fa2-3faf717892f7,2020-08-07,breyopo,"@koinworks Halo, KoinWorks! Saya dapat free koin 350.000 dr Grab. 
Yg jadi pertanyaan saya, utk apa saja koin tsb dpt digunakan?  pic.twitter.com/SIPNPN6yQ4",halo free koin dr grab utk koin tsb dpt sipnpn6yq4,-1,22
99902378-9b2a-43a3-8f14-e730b8931cd8,2020-08-06,oline_bmi,"Mau coba invest di Investree, Koinworks and Pluang deh. Ntar kalau udah coba invest pengen nulis pengalamannya gimana.",coba invest investree and pluang deh ntar udah coba invest pengen nulis pengalamannya gimana,-1,23
76b03f14-d2eb-4d0a-bd46-62a5d155b074,2020-08-06,pacmannai,bisa dicicil kok mas di Koinworks,bisa dicicil mas,0,24
c1b8625d-ccf6-4757-ba90-10c381796b88,2020-08-06,cepatlulusid,"Share ke teman-teman kalian yang sedang membutuhkan info ini supaya kita bisa #CerdasBersama #CepatLulusID

Source: Koinworks
#investasi #covid19 #investasisaatpandemi #strategiinvestasi pic.twitter.com/oVhI21zQJU",share teman teman membutuhkan info bisa cerdasbersama cepatlulusid source investasi covid19 investasisaatpandemi strategiinvestasi ovhi21zqju,0,25
78bf8990-d52b-417b-b6cb-b3d3c230b2d5,2020-08-05,chinmaykothekar,Awesome stuff @adityachintawar !,awesome stuff adityachintawar,0,26
f168d1c3-31a5-472c-a296-5c311da49221,2020-08-05,mickhae54541181,KoinWorks Super Finansial App adalah partner paling super yang pernah aku punya. Di sini semuanya super mudah dan menguntungkan. Klik link ini untuk dapatin 350rb KOIN atau bunga pinjaman yang rendah  https://koinworks.onelink.me/LgVI/5a40fd03 ,super finansial partner super super mudah menguntungkan klik link dapatin 350rb koin bunga pinjaman rendah onelink me lgvi 5a40fd03,5,27
0f3b7f1f-8841-4f7e-8bb4-6dbefa28b181,2020-08-05,glasgowsoul,"Emas. Bagus kok yg di pegadaian. Skrg byk juga yg ky gt, beli emas digital, ada di Toped ato app Pegadaian lgsg, Koinworks, Dana. Nanti kalo udah nyampe brp gram bisa dicetak.",emas bagus pegadaian skrg byk ky gt beli emas digital ada toped ato pegadaian lgsg dana kalo udah nyampe brp gram bisa dicetak,0,28
8694235c-c2e7-4d11-b6b3-00c722c01629,2020-08-05,tanayas11,"Insightful panel discussion today @sc0ttpugh. Great to hear perspectives of Product, Growth and Digital leaders from @Zilingo @ONEChampionship @koinworks 🙌 #mixpanel https://twitter.com/moengage/status/1290908997281656839 …",insightful panel discussion today sc0ttpugh great to hear perspectives of product growth and digital leaders from zilingo onechampionship mixpanel moengage status,21,29
32561a3a-945a-4b7e-af31-7f91400c9705,2020-08-05,ameya7s,"✅ Be on a panel

Yours truly and
@sc0ttpugh from @mixpanel
@adityachintawar from @koinworks
Kushal Manupati from @Zilingo
on GrowthAsia2020 https://twitter.com/moengage/status/1290915585501491200 …",be on a panel yours truly and sc0ttpugh from mixpanel adityachintawar from kushal manupati from zilingo on growthasia2020 moengage status,-1,30
20cc4009-b240-40a7-9989-48e271128635,2020-08-05,jigar_jadav12,"#GROWTHAsia2020 summit. 
“Aligning Product and Marketing for Better CX” featuring 
Ameya Sawant (@ONEChampionship), Aditya Chintawa (@koinworks), & Kushal Manupati (@Zilingo)
Moderated by Scott Pugh from @mixpanel.

Join live  https://bit.ly/3hH0dUZ   pic.twitter.com/E0dYLzmx66 pic.twitter.com/fD8Nh9Xa2B",growthasia2020 summit aligning product and marketing for better cx featuring ameya sawant onechampionship aditya chintawa kushal manupati zilingo moderated by scott pugh from mixpanel join live bit ly 3hh0duz e0dylzmx66 fd8nh9xa2b,46,31
18a05e72-096b-4da8-84d2-9b39419fe2d6,2020-08-05,letitbee1104,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 
 
Download and *Use my code NM82676 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/28774c9c ",let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single and use my nm82676 to get koin or click onelink me lgvi 28774c9c,6,32
69bb68a4-a3c9-440d-89af-5f6ffcbd92b8,2020-08-05,moengage,"Next up at #GROWTHAsia2020 is a panel discussion on “Aligning Product and Marketing for Better CX” featuring 

Ameya Sawant (@ONEChampionship), Aditya Chintawa (@koinworks), & Kushal Manupati (@Zilingo)

Moderated by Scott Pugh from @mixpanel.

Join live  https://bit.ly/3hH0dUZ   pic.twitter.com/kmOQIVXVEt",next up at growthasia2020 is a panel discussion on aligning product and marketing for better cx featuring ameya sawant onechampionship aditya chintawa kushal manupati zilingo moderated by scott pugh from mixpanel join live bit ly 3hh0duz kmoqivxvet,-1,33
0d1cca41-83cb-4f3d-b159-bfe7a2d14162,2020-08-05,eileneaevelyn,"Rekomendasi situs terpercaya penyedia platform peer to peer lending

- KoinWorks. 
- Amartha.
- Investree.
- Modalku. 
- Danamas.
- Uang Teman.
- DanaKita.
- Akseleran.",rekomendasi situs terpercaya penyedia platform peer to peer lending amartha investree modalku danamas uang teman danakita akseleran,-1,34
3a4886f5-a948-41c3-82f0-30a272116aa1,2020-08-05,bangbingbung,@koinworks cek dm ya min,cek dm ya min,-1,35
facc11bc-9094-4b77-950b-28a11bec6ec0,2020-08-04,dracolynx_,"koinworks atau akseleran kl aq mah, biar nambah trz.

kl males buka jenius tabung di maxi savenya.",akseleran kl aq mah biar nambah trz kl males buka jenius tabung maxi savenya,0,36
8d970b82-76eb-4e42-a1ca-03d25cde09d1,2020-08-04,rolandsilow,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app. 

 Download and *Use my code RL43300 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/694b179 ",let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single and use my rl43300 to get koin or click onelink me lgvi 694b179,6,37
34b01fb5-e6a3-4cf7-98fb-8f10b2b3e270,2020-08-04,rintaniamr,Investasi mending di asetku atau koinworks deh return nya menggiurkan tp kalau ada yg gagal bayar wasalam sih,investasi mending asetku deh return nya menggiurkan tp ada gagal bayar wasalam sih,7,38
ac937bb5-3b0f-4492-b4fd-07aaa51227cb,2020-08-03,ryannnriyadiii,"Transaction Closed in my first year at Koinworks : usd 25mn and counting .... Memutuskan untuk pindah ke FOOM adalah keputusan berat, bahkan sblm ttd OL gw ngelakuin market size, sama comps, and realized segede itu market tembakau di Indo...",transaction closed in my first year at usd 25mn and counting memutuskan pindah foom keputusan berat sblm ttd ol gw ngelakuin market size comps and realized segede market tembakau indo,8,39
5a55dcfb-e372-440a-9461-82ab50270406,2020-08-02,ramamyid,"Kalau koinworks, mereka punya semacam reserve fund buat ngecover loan yg gagal bayar, itupun yg discover maksimal 80%, tergantung grade loannya. Akseleran pun kalau ga salah sama, maksimal 80% yg dicover kalau loan gagal bayar",reserve fund ngecover loan gagal bayar itupun discover maksimal tergantung grade loannya akseleran ga salah maksimal dicover loan gagal bayar,9,40
94c3e85b-04f5-4ead-93c8-f3d945f737c4,2020-08-02,laywookcom,"Kalo platform P2P lain yg menurut gw udah gede, misalnya investree, koinworks, modalku, dll. Itu mereka fokus ke pinjaman produktif

Tentu dengan bunga yg lebih rendah, antara 10-16%/tahun",kalo platform p2p gw udah gede investree modalku dll fokus pinjaman produktif bunga rendah,-1,41
e5ea45c4-cbbc-48c2-8009-1cde4a209d0e,2020-08-02,dedisuparman87,"Hi, Cek Penawaran KoinGold dari KoinWorks Super Financial Apps! Kamu bisa menemukan semua kebutuhanmu disini, jual beli emas digital dengan minimal pembelian Rp.1000 dan tanpa biaya apapun. Menarik bukan?
Segera unduh dan dapatkan semua   https://koinworks.onelink.me/LgVI/koingold ",cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan onelink me lgvi koingold,-1,42
f6a73804-92f2-4f5e-8593-53921b8019de,2020-08-02,wandercatblog,"Hi, let me introduce you to *KoinWorks*, Indonesia First Super Financial App. Get *return up to 18% p.a* and *non-collateralized loan* in one single app.

 https://youtu.be/D1N34eRVkqM 

Use my code  09679  to get 350,000* KOIN bonus for sign up or click   https://koinworks.onelink.me/LgVI/9f2d46b0 ",let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single be d1n34ervkqm use my to get koin bonus for sign up or click onelink me lgvi 9f2d46b0,-1,43
d7214cc1-46a6-4a53-ab45-37dd71e8a077,2020-07-31,moengage,"Discover how aligning #product and #marketing teams can improve the #customerexperience.

Join our esteemed panelist for a live discussion at #GROWTHAsia 2020.

Reserve your spot:  https://bit.ly/3hH0dUZ 
@mixpanel | @Zilingo | @koinworks | @ONEChampionship pic.twitter.com/grJKiQpxkA",discover how aligning product and marketing teams can improve the customerexperience join our esteemed panelist for a live discussion at growthasia reserve your spot bit ly 3hh0duz mixpanel zilingo onechampionship grjkiqpxka,-1,44
383b54c8-c3cf-43af-a3f5-4f7694ed4c5e,2020-07-30,santiascream,"Hi, Cek Penawaran KoinGold dari KoinWorks Super Financial Apps Kamu bisa menemukan semua kebutuhanmu disini, jual beli emas digital dengan minimal pembelian Rp.1000 dan tanpa biaya apapun Menarik bukan?
Segera unduh dan dapatkan semua kebutuhan Investasimu  https://koinworks.onelink.me/LgVI/koingold ",cek penawaran koingold super financial apps bisa menemukan kebutuhanmu jual beli emas digital minimal pembelian rp biaya apapun menarik unduh dapatkan kebutuhan investasimu onelink me lgvi koingold,-1,45
4869bb94-d88a-43ce-8e06-b4e9bb3e4879,2020-07-30,cepatlulusid,"Jangan lupa untuk share ke teman-teman kalian supaya mereka tahu dan menjadi #CerdasBersama #CepatLulusID

Source: Koinworks
#quarterlifecrisis #anakmuda #passion #cobasekarang #usia20an pic.twitter.com/S5qnalvxQQ",lupa share teman teman cerdasbersama cepatlulusid source quarterlifecrisis anakmuda passion cobasekarang usia20an s5qnalvxqq,0,46
9b6c24b6-a7d0-4f36-b397-39a90acbebdb,2020-07-30,spermdit,"SAHAM DAN REKSADANA GRATIS ! (DENGAN BIMBINGAN)
 https://link.medium.com/pGMTp0ZTw8 
#SAHAM #REKSADANA #BAREKSA #BIBIT #KOINWORKS #FINANCE",saham reksadana gratis bimbingan link medium pgmtp0ztw8 saham reksadana bareksa bibit finance,0,47
0431fcce-70e1-4f02-af7b-8d6b3f78aae9,2020-07-29,tribunjatim,"Bawa Misi Ratakan Inklusi Keuangan di Indonesia, KoinWorks Siap Adakan Edukasi Finansial Tiap Bulan  https://jatim.tribunnews.com/2020/07/29/bawa-misi-ratakan-inklusi-keuangan-di-indonesia-koinworks-siap-adakan-edukasi-finansial-tiap-bulan … via @tribunjatim",bawa misi ratakan inklusi keuangan indonesia adakan edukasi finansial jatim tribunnews bawa misi ratakan inklusi keuangan indonesia adakan edukasi finansial via tribunjatim,-1,48
08f2c0b7-d260-4fba-b274-ed6cce49008a,2020-07-29,dk_destha,"Hi, let me introduce you to KoinWorks, Indonesia First Super Financial App. Get return up to 18% p.a and non-collateralized loan in one single app. 
 
Download and Use my code 89587 to get 350,000 KOIN or click  https://koinworks.onelink.me/LgVI/7606e48 ",let me introduce you to indonesia first super financial get return up to p a and non collateralized loan in one single and use my to get koin or click onelink me lgvi 7606e48,10,49
7c613472-dca4-495b-a699-2b1488f81658,2020-07-29,fajaraismael,Saya email ya detailnya,email ya detailnya,-1,50
557c4e7e-99fd-4204-a42c-1867ee6c79ac,2020-07-29,pacmannai,"Halo ada masukan, kritik dan sarankah mengenai pembayaran cicilan dengan Koinworks? 

Apakah hal ini menjadi hambatan untuk teman-teman?

Kasih mimin kritik dan saran dong jika tidak keberatan melalui DM 🙏",halo ada masukan kritik sarankah pembayaran cicilan hambatan teman teman kasih mimin kritik saran keberatan dm,11,51
