date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id,cleaned,flair_dataset,is_ref
2020-08-12,eventjakartacom,Event Jakarta,"KoinWorks x Investashe : I Am A Financially Independent Woman | Kamis, 13 Agustus 2020 | Via : Online (ZOOM) | 19.00 WIB – Selesai | Pendaftaran :  http://bit.ly/SHE83S  pic.twitter.com/qCBI37JTsK",['http://bit.ly/SHE83S'],0,0,[],7e6f5873-82d4-426a-a50b-e02a37990313,x investashe i am a financially independent woman kamis agustus via online zoom wib - selesai pendaftaran bit ly she83s qcbi37jtsk,koinworks x investashe i am a financially independent woman kamis agustus via online zoom wib - selesai pendaftaran http bit ly she83s pic twitter com qcbi37jtsk,False
2020-08-07,lawancovid19_id,#AdaptasiKebiasaanBaru Lawan COVID-19,Follow sekarang! Dapatkan informasi terkini tentang COVID-19 di Indonesia. Bisa mengubungi tim Gugus Tugas Penanganan COVID-19 juga apabila kamu ingin berkonsultasi. Follow sekarang di:   https://twitter.com/lawancovid19_id  pic.twitter.com/naFWym8rB4,['https://twitter.com/lawancovid19_id'],11,571,[],ed608ab2-6e4b-4f00-8cf7-30b7c10bd173,follow dapatkan informasi terkini covid indonesia bisa mengubungi tim gugus tugas penanganan covid berkonsultasi follow lawancovid19 id nafwym8rb4,follow sekarang dapatkan informasi terkini tentang covid di indonesia bisa mengubungi tim gugus tugas penanganan covid juga apabila kamu ingin berkonsultasi follow sekarang di https twitter com lawancovid19 id pic twitter com nafwym8rb4,False
2020-08-12,mayasoekandar,Maya Soekandar,"Click to watch video
  https://youtu.be/D1N34eRVkqM  
 Download and *Use my code MS26024 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/97f1cf22 
KoinWorks is *registered and supervised by OJK* Indonesia Financial Service Authority","['https://youtu.be/D1N34eRVkqM', 'https://koinworks.onelink.me/LgVI/97f1cf22']",0,0,[],dd377ad5-77bb-4219-ac96-061223f97a8f,click to watch video be d1n34ervkqm and use my ms26024 to get koin or click onelink me lgvi 97f1cf22 is registered and supervised by ojk indonesia financial service authority,click to watch video https youtu be d1n34ervkqm download and use my code ms26024 to get koin or click https koinworks onelink me lgvi 97f1cf22 koinworks is registered and supervised by ojk indonesia financial service authority,False
2020-08-11,bayubask,Bayu Baskoro,@koinworks please check dm & response...thanks,[],0,0,[],564faa56-8998-482e-b29e-f4272978f0fa,please check dm response thanks,koinworks please check dm response thanks,False
2020-08-11,arumst,Arum,"Case itu terjadi thn lalu min, sblm pandemi. Awalnya saya mendanai krn tenor hny 3 bln. Ketika proses peminjaman dah jalan, cek di portfolio, kaget, tenor dah berubah jd 24 bln. Tanpa ada info dan opsi pembatalan. Resiko sepenuhnya ada di pendana.",[],0,0,[],838bd0c1-c551-40b8-b646-82240d57c8af,case thn min sblm pandemi mendanai krn tenor hny bln proses peminjaman dah jalan cek portfolio kaget tenor dah berubah jd bln ada info opsi pembatalan resiko sepenuhnya ada pendana,case itu terjadi thn lalu min sblm pandemi awalnya saya mendanai krn tenor hny bln ketika proses peminjaman dah jalan cek di portfolio kaget tenor dah berubah jd bln tanpa ada info dan opsi pembatalan resiko sepenuhnya ada di pendana,False
2020-08-11,idntimes,IDN Times,"Mulai dari Bibit, Bareksa, Tanamduit, hingga KoinWorks, yuk, mulai investasi! #IDNTImesTech https://www.idntimes.com/tech/trend/izza-namira-1/daftar-aplikasi-investasi-terbaik-untuk-pemula?utm_source=twitter&utm_medium=auto&utm_campaign=auto …",['https://www.idntimes.com/tech/trend/izza-namira-1/daftar-aplikasi-investasi-terbaik-untuk-pemula?utm_source=twitter&utm_medium=auto&utm_campaign=auto'],0,1,['#idntimestech'],93dbb9c2-2de7-4e0a-8d12-92b0ae737d78,bibit bareksa tanamduit investasi idntimestech idntimes tech trend izza namira daftar aplikasi investasi terbaik pemula utm source utm medium auto utm campaign auto ...,mulai dari bibit bareksa tanamduit hingga koinworks yuk mulai investasi idntimestech https www idntimes com tech trend izza namira daftar aplikasi investasi terbaik untuk pemula utm source twitter utm medium auto utm campaign auto ...,False
2020-08-11,quratengil,Endah Uktolseja,Buat yang mau beli emas... Gue sih prefer KoinWorks ya kalo investasi sekarang ini.. Ga kebanyakan fitur jadi sejauh ini masih smooth  https://twitter.com/teknogav/status/1293002391768281089 …,['https://twitter.com/teknogav/status/1293002391768281089'],0,0,[],bdb7f63c-2763-4f68-9ccd-f5f2ec66674c,beli emas gue sih prefer ya kalo investasi ga kebanyakan fitur smooth teknogav status ...,buat yang mau beli emas gue sih prefer koinworks ya kalo investasi sekarang ini ga kebanyakan fitur jadi sejauh ini masih smooth https twitter com teknogav status ...,False
2020-08-11,eventjakartacom,Event Jakarta,"KoinWorks x Investashe : I Am A Financially Independent Woman | Kamis, 13 Agustus 2020 | Via : Online (ZOOM) | 19.00 WIB – Selesai | Pendaftaran :  http://bit.ly/SHE83S  pic.twitter.com/2OgT5WL7sf",['http://bit.ly/SHE83S'],0,1,[],27fb0d04-b47b-4f2f-b3dd-6e39a7aee2d1,x investashe i am a financially independent woman kamis agustus via online zoom wib - selesai pendaftaran bit ly she83s 2ogt5wl7sf,koinworks x investashe i am a financially independent woman kamis agustus via online zoom wib - selesai pendaftaran http bit ly she83s pic twitter com 2ogt5wl7sf,False
2020-08-10,andifa,AndiFa,"ada yang DM gitu juga tapi ya udah, udah tanem investasi yang ga harus kembali secepatnya. Giving them benefit of doubt...",[],0,0,[],236f2a10-64cd-423d-841d-4d34f6805a4d,ada dm gitu ya udah udah tanem investasi ga secepatnya giving them benefit of doubt,ada yang dm gitu juga tapi ya udah udah tanem investasi yang ga harus kembali secepatnya giving them benefit of doubt,False
2020-08-10,arumst,Arum,"Pengalaman pribadi sbg pendana dr sejak 2016. 
Ga pengen nerusin.
Gegara ada case peminjam ngubah tenor, dan ga ada notif dari koinworks. Ya udah, ga ada opsi lain, selain duit nyangkut  smp 24bln dg segala resiko. 
Dr 3bln, tiba2 brubah 24bln! 😖😭",[],0,0,[],631b201d-1465-4c60-873a-b6baa623d431,pengalaman pribadi sbg pendana dr ga pengen nerusin gegara ada case peminjam ngubah tenor ga ada notif ya udah ga ada opsi duit nyangkut smp 24bln dg resiko dr 3bln tiba2 brubah 24bln,pengalaman pribadi sbg pendana dr sejak ga pengen nerusin gegara ada case peminjam ngubah tenor dan ga ada notif dari koinworks ya udah ga ada opsi lain selain duit nyangkut smp 24bln dg segala resiko dr 3bln tiba2 brubah 24bln,False
