,text,id,score,topic_id,label
0,oh ya menghadirkan layanan keuangan didalam aplikasi barunya koinp2p koinrobo koinbisnis,1360,0.6761222128931501,12,2
1,menyajikan ragam layanan keuangan aplikasi pengalaman terbaik pengguna mengakses layanan keuangan dibutuhkan cek aplikasinya ya tweeps,1379,0.6473049493774203,12,2
2,hai sudah reply via dm ya tolong dicek thanks,1043,0.626347141334578,12,2
3,menghadirkan layanan keuangan didalam aplikasi barunya koinp2p koinrobo koinbisnis,1208,0.6262754633689265,12,2
4,menghadirkan kkl layanan keuangan aplikasi barunya koinp2p koinrobo koinbisnis,1334,0.6262754633689265,12,2
5,menghadirkan kkl layanan keuangan aplikasi barunya koinp2p koinrobo koinbisnis,1363,0.6262754633689265,12,2
6,pinjaman koinbisnis mudah cepat bunga rendah jaminan terbuka tipe usaha pt cv industri rumah tangga nama pribadi onelink me lgvi 20e03b19 terdaftar diawasi ojk suku bunga,708,0.6040281271465094,12,2
7,hai lihat pinjaman koinbisnis persembahan mudah cocok kebutuhan bisnis terbuka tipe usaha pt cv industri rumah tangga nama pribadi unduh dapatkan kemudahan genggaman onelink me lgvi 147265f6,558,0.5840593870689557,12,2
8,hai lihat pinjaman koinbisnis persembahan mudah cepat bunga rendah jaminan cocok cont tl gd n 1sr4uvg,1134,0.5725610557388958,12,2
9,sudah dm min tolong dicek trims,311,0.5584246845188288,12,2
10,tolong cek dm ya min thanks,114,0.5583945410620954,12,2
11,selamat siang admin tolong cek dm ya,286,0.5583873731280412,12,2
12,memiliki rekam jejak digital porsi berasal e commerce berhasil menyalurkan pinjaman rp250 miliar bunga pertahun gede deposito vbrnwh3evx,1202,0.5523003573000707,12,2
13,awalan menghadirkan layanan keuangan aplikasi barunya ada koinp2p koinrobo koinbisnis koinpintar,1295,0.5388649344446209,12,2
14,ga tanggung2 nih pendahuluan menghadirkan layanan keuangan aplikasi barunya koinp2p koinrobo koinbisnis,1354,0.5363559565428202,12,2
15,cocok kebutuhan bisnis terbuka tipe usaha pt cv industri rumah tangga nama pribadi onelink me lgvi f8884ca3 terdaftar diawasi ojk pinjaman suku bunga jaminan,719,0.5311464385828427,12,2
16,sudah dm min cek ya,314,0.5142239452654661,12,2
17,sudah dm ya min thanks,274,0.5142177723897179,12,2
18,cocok kebutuhan bisnis terbuka tipe usaha pt cv industri rumah tangga nama pribadi unduh dapatkan kemudahan genggaman onelink me lgvi 43534a0d terdaftar diawasi ojk,1546,0.510033922691171,12,2
19,ragam layanan aplikasi pengalaman terbaik pengguna mengakses layanan dibutuhkan,1263,0.4828467583569394,12,2
20,cek tabungan cek brankas cek sertifikat cek reksa cek ovo cek go pay cek hitung ora cukuuuuup geringgingen moco twit iki hahaha wedaaaaas,1572,0.4761770548533233,12,2
21,tolong cek dm trims,980,0.4603056467686048,12,2
22,tolong cek dm min,1550,0.460300538617109,12,2
23,tolong cek dm ya,726,0.4602784042386053,12,2
24,tolong cek dm ya,938,0.4602784042386053,12,2
25,tolong cek dm ya,998,0.4602784042386053,12,2
26,cek dm ya min,37,0.4602713461781869,12,2
27,cek dm ya min,1104,0.4602713461781869,12,2
28,sudah dm ya silakan dicek,22,0.4602630713165458,12,2
29,sudah dm ya tolong direply,1741,0.4602256182399109,12,2
30,min tolong cek dm ya accpunt value berkurang,1146,0.43148711021318703,12,2
