,Unnamed: 0,date,username,name,tweet,urls,retweets_count,likes_count,hashtags,id
0,0,2020-08-12,eventjakartacom,Event Jakarta,"KoinWorks x Investashe : I Am A Financially Independent Woman | Kamis, 13 Agustus 2020 | Via : Online (ZOOM) | 19.00 WIB – Selesai | Pendaftaran :  http://bit.ly/SHE83S  pic.twitter.com/qCBI37JTsK",['http://bit.ly/SHE83S'],0,0,[],1ce6ad69-99c0-40f0-9c79-8171e554a791
1,1,2020-08-07,lawancovid19_id,#AdaptasiKebiasaanBaru Lawan COVID-19,Follow sekarang! Dapatkan informasi terkini tentang COVID-19 di Indonesia. Bisa mengubungi tim Gugus Tugas Penanganan COVID-19 juga apabila kamu ingin berkonsultasi. Follow sekarang di:   https://twitter.com/lawancovid19_id  pic.twitter.com/naFWym8rB4,['https://twitter.com/lawancovid19_id'],11,571,[],92932aa5-2077-49c5-8790-843347424ea1
2,2,2020-08-12,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,0,[],07ceecf7-964e-4eb8-a43b-76933315c2a3
3,3,2020-08-12,mayasoekandar,Maya Soekandar,"Click to watch video
  https://youtu.be/D1N34eRVkqM  
 Download and *Use my code MS26024 to get 350,000* KOIN or click  https://koinworks.onelink.me/LgVI/97f1cf22 
KoinWorks is *registered and supervised by OJK* Indonesia Financial Service Authority","['https://youtu.be/D1N34eRVkqM', 'https://koinworks.onelink.me/LgVI/97f1cf22']",0,0,[],4fff2579-0e61-4d1b-992c-de7070537190
4,4,2020-08-12,ireneisbaebae,💚❤REFERRAL HUNTER,Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 !! langsung klik :  https://koinworks.com/invite/a63694  ❤❤ #koinworks,['https://koinworks.com/invite/a63694'],0,0,['#koinworks'],c573c18e-a2f9-4d2e-8de2-1fc010e202c2
5,5,2020-08-12,ireneisbaebae,💚❤REFERRAL HUNTER,P2P lending Kalian bisa dapat Rp.50.000 dengan memakai kode referral Koinworks ini :  a63694 ATAU langsung klik :  https://koinworks.com/invite/a63694  ❤❤,['https://koinworks.com/invite/a63694'],0,1,[],3046360d-1cf8-4c17-a7ba-a641911f6fe8
6,6,2020-08-11,bayubask,Bayu Baskoro,@koinworks please check dm & response...thanks,[],0,0,[],cee50078-4ddc-4191-a6f5-1546004278fc
7,7,2020-08-11,arumst,Arum,"Case itu terjadi thn lalu min, sblm pandemi. Awalnya saya mendanai krn tenor hny 3 bln. Ketika proses peminjaman dah jalan, cek di portfolio, kaget, tenor dah berubah jd 24 bln. Tanpa ada info dan opsi pembatalan. Resiko sepenuhnya ada di pendana.",[],0,0,[],1a89a8a6-bc87-4739-b945-d739798c5113
8,8,2020-08-11,koinworks,KoinWorks,"Investasinya bisa disesuaikan dengan kebutuhan kamu ya, Andi. MiKo doakan kamu bisa cuan terus bersama kami 🤞",[],0,0,[],e5e68583-1079-4dca-ba47-b335f5dee245
9,9,2020-08-11,koinworks,KoinWorks,"Halo, Arum! Relaksasi pada pinjaman memang biasanya dilakukan jika dari pihak peminjam masih kooperatif ketika ditagihkan, namun terkendala pada nominal kewajibannya. Kamu bisa merujuk halaman berikut yaa https://koinworks.com/blog/koinworks-covid19/ …",['https://koinworks.com/blog/koinworks-covid19/'],0,0,[],1f45159c-acc2-4c35-b2f0-1e0e4c8deafa
